rok;pkd;liczba_upadlosci
2022;7740Z;1
2022;7810Z;5
2022;7820Z;5
2022;7830Z;3
2022;7911A;1
2022;7912Z;3
2022;7990C;1
2022;8010Z;8
2022;8020Z;3
2022;8110Z;2
2022;8121Z;4
2022;8122Z;1
2022;8129Z;4
2022;8130Z;1
2022;8211Z;10
2022;8219Z;1
2022;8220Z;5
2022;8230Z;1
2022;8291Z;1
2022;8292Z;2
2022;8299Z;2
2022;8510Z;3
2022;8520Z;1
2022;8532A;1
2022;8541A;1
2022;8541Z;1
2022;8551Z;1
2022;8559A;2
2022;8559B;4
2022;8560Z;4
2022;8610Z;7
2022;8621Z;4
2022;8622Z;10
2022;8623Z;9
2022;8690A;1
2022;8690B;3
2022;8690C;4
2022;8690D;1
2022;8690E;1
2022;8730Z;1
2022;8810Z;2
2022;8891Z;4
2022;9001Z;1
2022;9002Z;1
2022;9103Z;1
2022;9311Z;3
2022;9312Z;2
2022;9313Z;5
2022;9321Z;1
2022;9329Z;4
2022;9499Z;9
2022;9511Z;3
2022;9522Z;1
2022;9601Z;2
2022;9602Z;12
2022;9604Z;3
2022;9609Z;1
2023;0111Z;17
2023;0113Z;5
2023;0125Z;1
2023;0129Z;2
2023;0141Z;6
2023;0142Z;1
2023;0147Z;4
2023;0150Z;44
2023;0161Z;6
2023;0162Z;3
2023;0163Z;1
2023;0210Z;1
2023;0220Z;3
2023;0812Z;1
2023;0990Z;1
2023;1011Z;4
2023;1012Z;1
2023;1013Z;1
2023;1032Z;1
2023;1039Z;5
2023;1041Z;1
2023;1051Z;1
2023;1052Z;1
2023;1061Z;1
2023;1071Z;9
2023;1073Z;2
2023;1082Z;1
2023;1084Z;1
2023;1085Z;3
2023;1089Z;4
2023;1101Z;1
2023;1107Z;1
2023;1310C;1
2023;1330Z;1
2023;1392Z;3
2023;1393Z;1
2023;1399Z;1
2023;1413Z;3
2023;1419Z;3
2023;1512Z;1
2023;1520Z;5
2023;1610Z;6
2023;1622Z;1
2023;1623Z;7
2023;1629Z;4
2023;1721Z;3
2023;1729Z;2
2023;1812Z;4
2023;1813Z;1
2023;1814Z;1
2023;1920Z;1
2023;2011Z;1
2023;2014Z;1
2023;2016Z;1
2023;2030Z;1
2023;2041Z;3
2023;2042Z;1
2023;2059Z;1
2023;2120Z;1
2023;2221Z;2
2023;2222Z;2
2023;2229Z;5
2023;2311Z;1
2023;2312Z;1
2023;2361Z;5
2023;2369Z;1
2023;2399Z;2
2023;2420Z;1
2023;2433Z;2
2023;2442B;1
2023;2511Z;20
2023;2512Z;4
2023;2529Z;1
2023;2550Z;4
2023;2561Z;7
2023;2562Z;16
2023;2591Z;1
2023;2599Z;2
2023;2611Z;3
2023;2651Z;3
2023;2711Z;2
2023;2712Z;1
2023;2733Z;1
2023;2740Z;1
2023;2811Z;1
2023;2813Z;1
2023;2829Z;2
2023;2830Z;2
2023;2841Z;1
2023;2849Z;1
2023;2899Z;5
2023;2931Z;2
2023;3011Z;2
2023;3012Z;2
2023;3092Z;1
2023;3099Z;1
2023;3101Z;9
2023;3102Z;4
2023;3103Z;1
2023;3109Z;10
2023;3212Z;1
2023;3240Z;2
2023;3250Z;3
2023;3299Z;1
2023;3312Z;7
2023;3313Z;1
2023;3314Z;4
2023;3315Z;3
2023;3317Z;2
2023;3320Z;6
2023;3511Z;1
2023;3514Z;7
2023;3811Z;5
2023;3821Z;2
2023;3832Z;2
2023;4110Z;51
2023;4120Z;55
2023;4211Z;4
2023;4212Z;4
2023;4221Z;3
2023;4222Z;2
2023;4299Z;3
2023;4311Z;2
2023;4312Z;3
2023;4313Z;1
2023;4321Z;37
2023;4322Z;31
2023;4329Z;1
2023;4331Z;7
2023;4332Z;6
2023;4333Z;12
2023;4334Z;4
2023;4339Z;11
2023;4391Z;7
2023;4399Z;12
2023;4511Z;14
2023;4519Z;7
2023;4520Z;20
2023;4531Z;4
2023;4532Z;5
2023;4540Z;1
2023;4612Z;1
2023;4613Z;1
2023;4614Z;3
2023;4615Z;2
2023;4617Z;1
2023;4618Z;4
2023;4619Z;8
2023;4621Z;5
2023;4622Z;2
2023;4623Z;3
2023;4631Z;16
2023;4632Z;4
2023;4633Z;2
2023;4634A;2
2023;4634B;1
2023;4636Z;3
2023;4637Z;1
2023;4638Z;2
2023;4639Z;2
2023;4641Z;2
2023;4642Z;7
2023;4643Z;7
2023;4644Z;2
2023;4645Z;3
2023;4646Z;2
2023;4647Z;3
2023;4649Z;2
2023;4651Z;4
2023;4652Z;1
2023;4661Z;2
2023;4669Z;7
2023;4671Z;3
2023;4672Z;1
2023;4673Z;17
2023;4674Z;2
2023;4675Z;5
2023;4676Z;1
2023;4677Z;2
2023;4690Z;28
2023;4711Z;20
2023;4719Z;11
2023;4722Z;2
2023;4724Z;1
2023;4725Z;2
2023;4726Z;2
2023;4729Z;3
2023;4730Z;1
2023;4741Z;3
2023;4742Z;1
2023;4743Z;1
2023;4752Z;7
2023;4754Z;1
2023;4759Z;12
2023;4761Z;2
2023;4764Z;5
2023;4765Z;1
2023;4771Z;17
2023;4772Z;5
2023;4773Z;5
2023;4774Z;1
2023;4775Z;1
2023;4776Z;5
2023;4778Z;3
2023;4779Z;1
2023;4781Z;3
2023;4789Z;2
2023;4791Z;44
2023;4799Z;11
2023;4931Z;2
2023;4932Z;4
2023;4939Z;10
2023;4941Z;133
2023;5210B;1
2023;5221Z;3
2023;5224A;3
2023;5224C;1
2023;5229C;14
2023;5320Z;11
2023;5510Z;10
2023;5520Z;7
2023;5610A;66
2023;5621Z;3
2023;5629Z;1
2023;5811Z;1
2023;5813Z;1
2023;5819Z;2
2023;5821Z;5
2023;5829Z;1
2023;5911Z;2
2023;5912Z;1
2023;6020Z;1
2023;6110Z;5
2023;6120Z;4
2023;6201Z;34
2023;6202Z;3
2023;6203Z;4
2023;6209Z;7
2023;6311Z;3
2023;6312Z;9
2023;6399Z;2
2023;6419Z;1
2023;6420Z;1
2023;6430Z;2
2023;6491Z;3
2023;6492Z;3
2023;6499Z;7
2023;6612Z;1
2023;6619Z;8
2023;6622Z;7
2023;6810Z;17
2023;6820Z;33
2023;6831Z;7
2023;6832Z;4
2023;6910Z;5
2023;6920Z;21
2023;7010Z;16
2023;7021Z;1
2023;7022Z;35
2023;7111Z;7
2023;7112Z;26
2023;7120A;1
2023;7120B;4
2023;7211Z;1
2023;7219Z;7
2023;7311Z;24
2023;7312B;1
2023;7320Z;1
2023;7410Z;15
2023;7490Z;5
2023;7500Z;4
2023;7711Z;1
2023;7721Z;1
2023;7732Z;3
2023;7739Z;1
2023;7740Z;1
2023;7810Z;10
2023;7820Z;13
2023;7830Z;6
2023;7911A;1
2023;7990C;1
2023;8010Z;5
2023;8020Z;2
2023;8110Z;5
2023;8121Z;7
2023;8122Z;4
2023;8129Z;1
2023;8130Z;5
2023;8211Z;4
2023;8220Z;3
2023;8230Z;3
2023;8291Z;4
2023;8292Z;3
2023;8299Z;1
2023;8510Z;5
2023;8520Z;1
2023;8541A;1
2023;8551Z;1
2023;8553Z;2
2023;8559A;1
2023;8559B;13
2023;8560Z;2
2023;8610Z;3
2023;8621Z;6
2023;8622Z;12
2023;8623Z;9
2023;8690A;4
2023;8690B;1
2023;8690C;4
2023;8690D;3
2023;8690E;10
2023;8710Z;1
2023;8730Z;1
2023;8891Z;5
2023;8899Z;1
2023;9001Z;5
2023;9002Z;3
2023;9003Z;1
2023;9200Z;1
2023;9311Z;5
2023;9312Z;2
2023;9319Z;1
2023;9329B;1
2023;9329Z;3
2023;9412Z;1
2023;9499Z;10
2023;9511Z;1
2023;9512Z;1
2023;9524Z;1
2023;9529Z;1
2023;9601Z;2
2023;9602Z;10
2023;9603Z;2
2023;9604Z;5
2023;9609Z;1
2024;0111Z;18
2024;0113Z;4
2024;0124Z;5
2024;0128Z;1
2024;0130Z;2
2024;0141Z;4
2024;0146Z;1
2024;0147Z;2
2024;0150Z;36
2024;0161Z;7
2024;0220Z;1
2024;0240Z;6
2024;0812Z;2
2024;1011Z;5
2024;1012Z;2
2024;1013Z;4
2024;1020Z;2
2024;1032Z;1
2024;1039Z;6
2024;1041Z;1
2024;1051Z;1
2024;1061Z;2
2024;1071Z;7
2024;1082Z;1
2024;1085Z;4
2024;1086Z;1
2024;1089Z;3
2024;1091Z;2
2024;1107Z;3
2024;1320A;1
2024;1392Z;3
2024;1394Z;1
2024;1395Z;1
2024;1399Z;1
2024;1411Z;2
2024;1412Z;1
2024;1413Z;12
2024;1414Z;1
2024;1520Z;2
2024;1610Z;3
2024;1622Z;1
2024;1623Z;10
2024;1624Z;1
2024;1629Z;3
2024;1712Z;1
2024;1721Z;4
2024;1723Z;1
2024;1729Z;1
2024;1812Z;8
2024;1813Z;1
2024;2012Z;1
2024;2014Z;1
2024;2015Z;1
2024;2016Z;1
2024;2041Z;1
2024;2042Z;1
2024;2053Z;1
2024;2059Z;3
2024;2120Z;2
2024;2221Z;1
2024;2222Z;5
2024;2229Z;6
2024;2311Z;1
2024;2331Z;1
2024;2332Z;1
2024;2341Z;1
2024;2361Z;1
2024;2369Z;1
2024;2370Z;1
2024;2399Z;1
2024;2442B;1
2024;2453Z;1
2024;2454B;1
2024;2511Z;21
2024;2512Z;9
2024;2530Z;1
2024;2550Z;1
2024;2561Z;5
2024;2562Z;12
2024;2573Z;1
2024;2591Z;1
2024;2599Z;4
2024;2640Z;1
2024;2651Z;2
2024;2670Z;1
2024;2712Z;4
2024;2790Z;1
2024;2825Z;1
2024;2829Z;4
2024;2830Z;1
2024;2849Z;2
2024;2893Z;2
2024;2896Z;1
2024;2899Z;3
2024;2932Z;2
2024;3012Z;1
2024;3030Z;1
2024;3092Z;2
2024;3101Z;9
2024;3102Z;4
2024;3109Z;8
2024;3212Z;1
2024;3250Z;2
2024;3311Z;2
2024;3312Z;7
2024;3314Z;3
2024;3315Z;1
2024;3317Z;1
2024;3320Z;5
2024;3511Z;8
2024;3514Z;2
2024;3811Z;2
2024;3821Z;1
2024;3832Z;4
2024;3900Z;1
2024;4110Z;47
2024;4120Z;56
2024;4211Z;10
2024;4212Z;1
2024;4221Z;2
2024;4222Z;5
2024;4291Z;2
2024;4299Z;2
2024;4311Z;4
2024;4312Z;1
2024;4313Z;2
2024;4321Z;40
2024;4322Z;34
2024;4329Z;6
2024;4331Z;3
2024;4332Z;9
2024;4333Z;4
2024;4339Z;19
2024;4391Z;5
2024;4399Z;8
2024;4511Z;15
2024;4519Z;1
2024;4520Z;20
2024;4531Z;6
2024;4532Z;5
2024;4611Z;2
2024;4612Z;2
2024;4613Z;3
2024;4615Z;1
2024;4616Z;12
2024;4618Z;3
2024;4619Z;11
2024;4621Z;5
2024;4623Z;3
2024;4631Z;3
2024;4632Z;2
2024;4633Z;1
2024;4634A;4
2024;4634B;1
2024;4635Z;1
2024;4636Z;2
2024;4638Z;1
2024;4641Z;5
2024;4642Z;5
2024;4643Z;3
2024;4644Z;1
2024;4645Z;1
2024;4646Z;1
2024;4647Z;3
2024;4648Z;1
2024;4649Z;3
2024;4651Z;3
2024;4652Z;4
2024;4661Z;2
2024;4662Z;2
2024;4666Z;1
2024;4669Z;6
2024;4671Z;2
2024;4672Z;7
2024;4673Z;22
2024;4674Z;6
2024;4675Z;5
2024;4676Z;2
2024;4677Z;2
2024;4690Z;17
2024;4711Z;41
2024;4719Z;10
2024;4722Z;3
2024;4725Z;2
2024;4726Z;4
2024;4729Z;1
2024;4741Z;4
2024;4742Z;1
2024;4752Z;4
2024;4759Z;7
2024;4762Z;2
2024;4764Z;2
2024;4765Z;2
2024;4771Z;19
2024;4772Z;2
2024;4773Z;2
2024;4774Z;1
2024;4775Z;3
2024;4776Z;4
2024;4778Z;3
2024;4779Z;1
2024;4791Z;51
2024;4799Z;1
2024;4920Z;1
2024;4932Z;4
2024;4939Z;2
2024;4941Z;149
2024;4942Z;1
2024;5020Z;2
2024;5210B;5
2024;5221Z;5
2024;5229C;9
2024;5320Z;9
2024;5510Z;9
2024;5520Z;6
2024;5530Z;1
2024;5610A;68
2024;5610B;2
2024;5621Z;7
2024;5629Z;2
2024;5630Z;3
2024;5811Z;2
2024;5819Z;2
2024;5821Z;4
2024;5829Z;3
2024;5911Z;3
2024;5912Z;2
2024;5920Z;1
2024;6110Z;5
2024;6120Z;1
2024;6201Z;31
2024;6202Z;7
2024;6203Z;1
2024;6209Z;3
2024;6311Z;4
2024;6312Z;11
2024;6419Z;4
2024;6420Z;7
2024;6491Z;1
2024;6492Z;5
2024;6499Z;9
2024;6611Z;1
2024;6612Z;1
2024;6619Z;2
2024;6622Z;8
2024;6810Z;19
2024;6820Z;26
2024;6831Z;5
2024;6832Z;3
2024;6910Z;7
2024;6920Z;19
2024;7010Z;16
2024;7021Z;1
2024;7022Z;37
2024;7111Z;8
2024;7112Z;16
2024;7120A;1
2024;7120B;2
2024;7211Z;3
2024;7219Z;6
2024;7311Z;15
2024;7320Z;3
2024;7410Z;12
2024;7420Z;1
2024;7430Z;1
2024;7490Z;7
2024;7711Z;16
2024;7712Z;2
2024;7732Z;5
2024;7739Z;1
2024;7740Z;1
2024;7810Z;8
2024;7820Z;11
2024;7830Z;9
2024;7911A;1
2024;7912Z;3
2024;7990C;1
2024;8010Z;41
2024;8030Z;1
2024;8110Z;1
2024;8121Z;9
2024;8122Z;3
2024;8129Z;3
2024;8130Z;4
2024;8211Z;7
2024;8220Z;4
2024;8230Z;4
2024;8291Z;3
2024;8292Z;3
2024;8299Z;4
2024;8510Z;3
2024;8531B;1
2024;8551Z;5
2024;8552Z;1
2024;8553Z;1
2024;8559A;4
2024;8559B;10
2024;8560Z;1
2024;8610Z;1
2024;8621Z;1
2024;8622Z;7
2024;8623Z;4
2024;8690A;2
2024;8690B;2
2024;8690C;1
2024;8690E;7
2024;8720Z;1
2024;8730Z;1
2024;8790Z;1
2024;8891Z;7
2024;9001Z;3
2024;9002Z;6
2024;9003Z;2
2024;9103Z;1
2024;9311Z;2
2024;9312Z;4
2024;9313Z;1
2024;9319Z;2
2024;9321Z;1
2024;9329B;3
2024;9329Z;1
2024;9499Z;12
2024;9511Z;2
2024;9512Z;1
2024;9601Z;1
2024;9602Z;12
2024;9603Z;1
2024;9604Z;1
2024;9609Z;2
